iter	RMSE
0	0.5506199191
1	0.5431194169
2	0.5359416862
3	0.5294990291
4	0.5227470112
5	0.5164981826
6	0.5104776299
7	0.504450177
8	0.4989308217
9	0.4933782902
10	0.4882017029
11	0.4831412881
12	0.4783380164
13	0.4738465595
14	0.4695381616
15	0.4655697152
16	0.4616872865
17	0.4579232122
18	0.4542661825
19	0.4509370087
20	0.4476602035
21	0.444508924
22	0.4414730915
23	0.4386006614
24	0.435970847
25	0.4333927158
26	0.4310609021
27	0.4286872602
28	0.4265521863
29	0.4243505248
30	0.4223034051
31	0.4201384105
32	0.4182693501
33	0.4165229043
34	0.4148642858
35	0.4132095328
36	0.4116138697
37	0.410120556
38	0.4086269284
39	0.4072868807
40	0.4058432685
41	0.4044117394
42	0.4032190885
43	0.4020686896
44	0.4009315576
45	0.3998344741
46	0.3986674062
47	0.3977950757
48	0.3968239841
49	0.395903891
50	0.3949761685
51	0.3941760064
52	0.3933349437
53	0.3925299048
54	0.3917675134
55	0.3910108724
56	0.3903507498
57	0.3897787944
58	0.3891995778
59	0.3884407045
60	0.3878362638
61	0.3872864858
62	0.3866025337
63	0.3860163257
64	0.3854462112
65	0.384839577
66	0.3843614296
67	0.3838863519
68	0.3833540005
69	0.3826833204
70	0.3821747571
71	0.3817759847
72	0.381285184
73	0.3808598047
74	0.3803918893
75	0.3799714475
76	0.3795553678
77	0.3791468053
78	0.3786781999
79	0.3782610301
80	0.377927006
81	0.3775065357
82	0.3771232242
83	0.3767893824
84	0.3763658857
85	0.3760286629
86	0.375738176
87	0.3754156022
88	0.3750992578
89	0.3747808894
90	0.3744103904
91	0.3741309301
92	0.3738109492
93	0.3734648765
94	0.3731264137
95	0.3728781514
96	0.3725732809
97	0.372286362
98	0.3720515918
99	0.3717820032
100	0.3714923312
101	0.3712648323
102	0.3710053428
103	0.3707451057
104	0.3705043245
105	0.3702144458
106	0.3699337957
107	0.3697524494
108	0.3695047624
109	0.3691733909
110	0.3689366923
111	0.3686673877
112	0.3684306937
113	0.3682285832
114	0.3679828617
115	0.367803867
116	0.3675945503
117	0.3673587882
118	0.3672060964
119	0.3670407267
120	0.366856334
121	0.3666784836
122	0.3664828031
123	0.3662906419
124	0.366081906
125	0.3658446625
126	0.3656407762
127	0.3654335804
128	0.3651715265
129	0.3650556739
130	0.3649095468
131	0.3647197706
132	0.3645477096
133	0.3644277167
134	0.3641784992
135	0.3639606849
136	0.3637728685
137	0.3636158875
138	0.3634007784
139	0.3632148953
140	0.3630654069
141	0.3629065417
142	0.3627659391
143	0.3625775448
144	0.3624254775
145	0.3622876095
146	0.3621650293
147	0.3620378834
148	0.36184821
149	0.3616241631
150	0.3614956296
151	0.3613621778
152	0.3611762593
153	0.360973872
154	0.360836789
155	0.3607492555
156	0.3606009947
157	0.360487841
158	0.3603700221
159	0.3602268255
160	0.3600982876
161	0.3599169186
162	0.3597810227
163	0.3596422822
164	0.3594804064
165	0.3593250668
166	0.3592003309
167	0.3590790888
168	0.3589500897
169	0.3588173657
170	0.3586495074
171	0.3584968828
172	0.3583518664
173	0.358231738
174	0.3580931129
175	0.3579133394
176	0.35773999
177	0.3576009051
178	0.3574468887
179	0.3573057963
180	0.3571742953
181	0.3570410382
182	0.3569210134
183	0.3568126777
184	0.3566827947
185	0.3565598345
186	0.3564396618
187	0.3562598322
188	0.3561558286
189	0.3560596989
190	0.3559775295
191	0.3558090587
192	0.3556550876
193	0.3554791175
194	0.3552632044
195	0.3551872369
196	0.3550552272
197	0.3549005129
198	0.3547435842
199	0.3545975026
200	0.3544577324
201	0.354345944
202	0.3542622039
203	0.3541359996
204	0.3540479164
205	0.3539691043
206	0.353886374
207	0.3537601131
208	0.3536464785
209	0.353508008
210	0.3534505194
211	0.3533177698
212	0.3532205885
213	0.3530855987
214	0.3529714037
215	0.3528618523
216	0.3527492063
217	0.3525941739
218	0.3525087454
219	0.3524266852
220	0.352333845
221	0.3522269477
222	0.3521507541
223	0.3520231751
224	0.3519344581
225	0.3518069012
226	0.351671969
227	0.3515875116
228	0.3515101805
229	0.3513669253
230	0.3513050863
231	0.3512236238
232	0.3511803564
233	0.351050408
234	0.3509044885
235	0.3507512816
236	0.3506184635
237	0.3505078243
238	0.3504299096
239	0.3503479803
240	0.350219513
241	0.3501197405
242	0.350031039
243	0.3499136406
244	0.3497757383
245	0.3497097437
246	0.349650537
247	0.3495906022
248	0.3494686064
249	0.3493428729
250	0.3492612511
251	0.3491656369
252	0.3490271545
253	0.3489454791
254	0.3488327254
255	0.3487253781
256	0.3486460635
257	0.3485157759
258	0.3484079515
259	0.3483104794
260	0.3481909954
261	0.3481060351
262	0.3479910575
263	0.3479281059
264	0.3478437762
265	0.3477629811
266	0.3476782495
267	0.3475874053
268	0.3474961134
269	0.347398775
270	0.347280491
271	0.3471901433
272	0.3470988615
273	0.3469581969
274	0.3468682637
275	0.3467969004
276	0.3467286947
277	0.3466048752
278	0.34649768
279	0.346415359
280	0.3462697943
281	0.346174913
282	0.3460788079
283	0.3460037795
284	0.3459421713
285	0.3458742556
286	0.3457887328
287	0.3456979634
288	0.345596292
289	0.3454945583
290	0.3454408212
291	0.345332261
292	0.345247566
293	0.3451753646
294	0.3450760503
295	0.3449963411
296	0.3448462706
297	0.3447439105
298	0.3446388689
299	0.3445628673
300	0.3444248164
301	0.3443094624
302	0.3442117582
303	0.3441369298
304	0.3440686369
305	0.3439821807
306	0.3438696006
307	0.3437259555
308	0.3436425126
309	0.3435482439
310	0.3434274176
311	0.3432895998
312	0.3432163
313	0.3431203325
314	0.3430458667
315	0.3429699582
316	0.3428697661
317	0.3427590399
318	0.3426951424
319	0.342614129
320	0.3425012829
321	0.3424181972
322	0.3423292684
323	0.3422104122
324	0.3421421492
325	0.3420805303
326	0.3420239653
327	0.341933729
328	0.3418669869
329	0.3417757022
330	0.3416700776
331	0.3415667691
332	0.3414785213
333	0.3414227532
334	0.3413165333
335	0.3412598026
336	0.3411583601
337	0.3410407288
338	0.3409693991
339	0.3408407203
340	0.3407687371
341	0.3406926249
342	0.3406174069
343	0.3405176795
344	0.3404088389
345	0.3402939574
346	0.3402180277
347	0.3401171577
348	0.3399918231
349	0.3398842357
350	0.3397778103
351	0.3396597883
352	0.3395534999
353	0.3394629519
354	0.3393612439
355	0.3392281238
356	0.3391229374
357	0.339053117
358	0.3389615214
359	0.338857493
360	0.3387918733
361	0.3387327161
362	0.3386590826
363	0.3386049605
364	0.338498444
365	0.3384251769
366	0.3383442744
367	0.3382498438
368	0.3381742092
369	0.3380832788
370	0.3379698402
371	0.3378684375
372	0.3377723537
373	0.3376694679
374	0.337569311
375	0.3374531137
376	0.3373533434
377	0.3372498777
378	0.3371962715
379	0.3371110624
380	0.3370165337
381	0.3369335724
382	0.3368272836
383	0.3367266555
384	0.3366411129
385	0.3365304912
386	0.3364556891
387	0.3363481104
388	0.3362599341
389	0.3361260091
390	0.3360664086
391	0.3359913385
392	0.3358945801
393	0.3357809451
394	0.3356877859
395	0.3355943897
396	0.3354492752
397	0.3353159412
398	0.3352437889
399	0.3351605586
400	0.3350770759
401	0.3349820662
402	0.3348708743
403	0.3347273639
404	0.3346055545
405	0.3345318094
406	0.3344818905
407	0.3344183716
408	0.3343357002
409	0.3342409852
410	0.3341631644
411	0.3340670367
412	0.3339953513
413	0.3338885694
414	0.3338135628
415	0.3337367239
416	0.3336318185
417	0.3335467258
418	0.3334627669
419	0.333382145
420	0.3332738599
421	0.3331523164
422	0.3330302169
423	0.3329445466
424	0.3328516026
425	0.3327710085
426	0.3326632614
427	0.3325858139
428	0.3324953134
429	0.332419085
430	0.3323411289
431	0.3322577415
432	0.3321894121
433	0.3321027654
434	0.3320344105
435	0.3319530037
436	0.3318838708
437	0.3318171352
438	0.3317226375
439	0.3316263751
440	0.3315911304
441	0.3315158741
442	0.3314254243
443	0.3313500672
444	0.3312824685
445	0.331177701
446	0.3311116084
447	0.3310211512
448	0.3309168051
449	0.3308363808
450	0.3307323576
451	0.3306629612
452	0.3306039512
453	0.3305194277
454	0.3304399893
455	0.3303434459
456	0.3302319489
457	0.3301323293
458	0.3300414504
459	0.3299607933
460	0.3298827258
461	0.3298050226
462	0.32974082
463	0.3296264467
464	0.3295095633
465	0.3294260736
466	0.3293527024
467	0.3292615122
468	0.3291584674
469	0.3290695501
470	0.3289948473
471	0.3288884782
472	0.3288019502
473	0.3287117382
474	0.3285832805
475	0.3285132754
476	0.3284190141
477	0.3283053096
478	0.3282080755
479	0.3281501012
480	0.3280520353
481	0.3279559627
482	0.3278716475
483	0.3277648136
484	0.3276986529
485	0.3276238025
486	0.3275643088
487	0.3274889136
488	0.3274171371
489	0.3273546879
490	0.3273029847
491	0.3272266994
492	0.3271408648
493	0.3270258545
494	0.3269479563
495	0.3268756532
496	0.3268169559
497	0.3267542953
498	0.3266821869
499	0.3266489908
500	0.3266013984
501	0.3265669201
502	0.3265009767
503	0.3264059588
504	0.3262997168
505	0.3262142598
506	0.3261770025
507	0.3261112201
508	0.3260248104
509	0.3259455128
510	0.3259068264
511	0.3258489857
512	0.3257833367
513	0.3257133381
514	0.3256607516
515	0.3255859975
516	0.3254700651
517	0.3253779446
518	0.3253035363
519	0.3252175679
520	0.3251360461
521	0.3250425413
522	0.3249188808
523	0.3247990993
524	0.3247370185
525	0.3246262791
526	0.3245695395
527	0.3244961703
528	0.3244326503
529	0.3243738228
530	0.3243250122
531	0.3242550922
532	0.3242079005
533	0.3240879845
534	0.3240147733
535	0.3239482161
536	0.3238533241
537	0.3237748487
538	0.3237057883
539	0.3236576954
540	0.3236000321
541	0.3235425145
542	0.3234602237
543	0.3233817765
544	0.3232782901
545	0.3232185851
546	0.3231615992
547	0.3230889692
548	0.3230102357
549	0.3229234035
550	0.3228554217
551	0.3227611903
552	0.3226723747
553	0.3225973023
554	0.3225282637
555	0.3224521264
556	0.3223919559
557	0.3223294432
558	0.322236537
559	0.3221589572
560	0.3220640618
561	0.3219945309
562	0.321920598
563	0.321865194
564	0.3218029586
565	0.3217098272
566	0.3216290261
567	0.3215586282
568	0.3214387008
569	0.3213721812
570	0.3213110487
571	0.3212238261
572	0.3211137607
573	0.3210481465
574	0.3209478799
575	0.3208876263
576	0.3208177246
577	0.3207411183
578	0.3206581947
579	0.3205943614
580	0.3205369944
581	0.320471074
582	0.3203734054
583	0.3203226301
584	0.3202560714
585	0.3202046497
586	0.3201503261
587	0.3200730137
588	0.3200249523
589	0.3199528157
590	0.3198754414
591	0.3198079396
592	0.3197220338
593	0.3196423991
594	0.3195740756
595	0.3195050039
596	0.3194457262
597	0.3193981638
598	0.3192792628
599	0.3191586192
600	0.3190866314
601	0.3189608671
602	0.3189019353
603	0.318841231
604	0.3187656364
605	0.3187132852
606	0.3186457898
607	0.3185853613
608	0.3185227504
609	0.3184216248
610	0.3183645915
611	0.3183023933
612	0.3182210598
613	0.3181702797
614	0.3180921056
615	0.3179843422
616	0.3179020982
617	0.3178205301
618	0.3177441834
619	0.3176912112
620	0.3176378079
621	0.3175742923
622	0.3175114879
623	0.3174215678
624	0.3173381055
625	0.3172736132
626	0.317190607
627	0.3171423948
628	0.3170473007
629	0.3170003138
630	0.3169288196
631	0.316869206
632	0.316774711
633	0.316733049
634	0.3166502709
635	0.3165924182
636	0.3165278153
637	0.3164254854
638	0.3163288732
639	0.3163140507
640	0.3162359081
641	0.3161659036
642	0.3160949735
643	0.3159980186
644	0.3159593752
645	0.3159338049
646	0.3158510597
647	0.315789394
648	0.315713749
649	0.3156291285
650	0.3155661474
651	0.3154419573
652	0.3153974236
653	0.3153031093
654	0.315215232
655	0.3151529713
656	0.3150828469
657	0.3150304871
658	0.3149548936
659	0.3148704709
660	0.3148119217
661	0.3147870792
662	0.3147314996
663	0.3146714589
664	0.3146050483
665	0.3145324788
666	0.3144671425
667	0.3143986585
668	0.3143745723
669	0.3142852027
670	0.3142333824
671	0.3141786798
672	0.3140898104
673	0.3140206015
674	0.3139765225
675	0.3139333786
676	0.3138768017
677	0.3138282051
678	0.313768768
679	0.3137218178
680	0.3136304386
681	0.3135642869
682	0.3134931357
683	0.3134381439
684	0.3133591192
685	0.313288067
686	0.3132218819
687	0.3131313646
688	0.3130467049
689	0.3129632883
690	0.3128432614
691	0.3127943549
692	0.3127526905
693	0.3126662627
694	0.3126167147
695	0.3125484945
696	0.312483643
697	0.3124252899
698	0.3123729662
699	0.3123098685
700	0.3122247868
701	0.3121676945
702	0.312114757
703	0.3120473422
704	0.3119841095
705	0.3119161749
706	0.3118396967
707	0.3117831496
708	0.3117619808
709	0.311698776
710	0.3116480824
711	0.3115769194
712	0.3115284768
713	0.3114633086
714	0.3113863296
715	0.3113357388
716	0.3112811993
717	0.3112394285
718	0.3111735261
719	0.311102386
720	0.3110456291
721	0.3109806851
722	0.3109106953
723	0.31084398
724	0.3107939689
725	0.3107381259
726	0.3106374461
727	0.3105700316
728	0.3105319727
729	0.3104482222
730	0.3103831104
731	0.3103344987
732	0.3102909551
733	0.3102038357
734	0.3101448017
735	0.3100765536
736	0.3099870139
737	0.309907863
738	0.3098416412
739	0.3097536928
740	0.3097041962
741	0.3096052864
742	0.3095562557
743	0.3094989125
744	0.3094443929
745	0.3093904868
746	0.3093497518
747	0.3092729345
748	0.309200725
749	0.309099276
750	0.3090117445
751	0.3089518749
752	0.3089086514
753	0.3088517953
754	0.3088041192
755	0.3087136916
756	0.308625084
757	0.3085725861
758	0.3085197836
759	0.3084690563
760	0.3084078849
761	0.3083533084
762	0.3082839147
763	0.3082485403
764	0.3081848619
765	0.3081432285
766	0.308072061
767	0.3080253631
768	0.3079740137
769	0.3079237685
770	0.3078819713
771	0.3078316141
772	0.3077574386
773	0.3076685396
774	0.3075724645
775	0.3074758089
776	0.3074333684
777	0.3073798205
778	0.3073116788
779	0.3072541947
780	0.3071851907
781	0.3071039269
782	0.3070104631
783	0.306926008
784	0.3068556686
785	0.3067731652
786	0.3066967683
787	0.3066449698
788	0.3065977794
789	0.3065123762
790	0.3064439257
791	0.3063856398
792	0.3063358955
